t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687525501.849932	1687525501.850527	24.322803	-17.536828	-0.858824	0.237850	0.237979	0.213089	-0.048955	-0.025629	1.029938	0.490428	0.270956	0.218847	0.023202	0.014990	-0.492593	0.869821	
 1687525502.156924	1687525502.154370	24.328827	-17.577805	-0.864243	0.238854	0.239314	0.214107	-0.050327	-0.019480	1.038820	0.380253	0.262405	0.219365	0.020941	0.017008	-0.496400	0.867675	
 1687525502.461773	1687525502.456455	24.331539	-17.623049	-0.861638	0.237548	0.238135	0.213501	-0.054415	-0.022203	1.032195	0.370291	0.242390	0.218285	0.023076	0.018183	-0.493539	0.869227	
 1687525502.868451	1687525502.858748	24.346924	-17.705913	-0.851476	0.284372	0.284468	0.238663	-0.043893	-0.027859	1.004807	0.468993	0.285144	0.244956	0.022771	0.012526	-0.481639	0.875985	
 1687525503.275400	1687525503.263728	24.359966	-17.720746	-0.837013	0.292018	0.292031	0.243110	-0.064118	-0.039181	0.998398	0.436165	0.321110	0.249978	0.032532	0.018764	-0.478936	0.877046	
 1687525503.684489	1687525503.667017	24.378241	-17.776860	-0.848947	0.296742	0.296859	0.245408	-0.050662	-0.032883	1.015160	0.599992	0.380856	0.252237	0.026673	0.014143	-0.486206	0.873323	
 1687525504.090115	1687525504.070559	24.387820	-17.841563	-0.859811	0.299187	0.299397	0.246385	-0.057132	-0.029029	1.011100	0.493530	0.348844	0.253375	0.026524	0.017961	-0.484403	0.874258	
 1687525504.394222	1687525504.374629	24.380229	-17.864218	-0.863776	0.241346	0.241547	0.216372	-0.060198	-0.029516	1.006834	0.481606	0.290849	0.221030	0.027438	0.019242	-0.482539	0.875233	
 1687525504.801867	1687525504.778162	24.381621	-17.873948	-0.865456	0.295385	0.295470	0.244061	-0.057137	-0.034963	0.996694	0.528332	0.321028	0.250333	0.028999	0.016735	-0.478145	0.877643	
 1687525505.109161	1687525505.080287	24.402995	-17.902189	-0.862363	0.242624	0.242700	0.216581	-0.060446	-0.046331	0.988110	0.444448	0.304087	0.222337	0.034710	0.015619	-0.474472	0.879447	
 1687525505.412982	1687525505.383489	24.401549	-17.893028	-0.861050	0.237642	0.238159	0.213776	-0.064194	-0.033649	1.003024	0.443531	0.340523	0.218638	0.030170	0.020052	-0.480910	0.876021	
 1687525505.722379	1687525505.685456	24.390531	-17.883090	-0.862540	0.234331	0.234640	0.211287	-0.078645	-0.022635	1.013863	0.413819	0.271991	0.215903	0.028971	0.028876	-0.485480	0.873291	
 1687525506.026722	1687525505.987505	24.383445	-17.871288	-0.866403	0.236762	0.236854	0.212963	-0.071700	-0.027450	1.009177	0.474914	0.245644	0.217745	0.029333	0.024742	-0.483522	0.874491	
 1687525506.431680	1687525506.391979	24.392619	-17.904924	-0.879678	0.291710	0.291954	0.242291	-0.050295	-0.031256	0.995965	0.485410	0.288118	0.248198	0.025734	0.014626	-0.477790	0.877975	
