t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z
 1687176596.497521	1687187168.091452	5.405001	-21.268459	-0.869243	0.225822	0.225882	0.205417	-0.005043	0.004994	0.396849	0.213985	0.210281	0.210874	
 1687176596.801518	1687187168.405677	5.397639	-21.255750	-0.873964	0.235253	0.235290	0.211929	-0.001702	0.003302	0.397107	0.220020	0.214593	0.217377	
 1687176597.108729	1687187168.716640	5.388763	-21.255972	-0.878725	0.234538	0.234555	0.211100	-0.001965	0.010074	0.396314	0.217539	0.213261	0.216841	
 1687176597.415963	1687187169.009326	5.378138	-21.267590	-0.880385	0.237273	0.237318	0.212733	-0.007480	0.020211	0.388125	0.219720	0.218582	0.218835	
 1687176597.723690	1687187169.280954	5.381282	-21.271194	-0.876501	0.231220	0.231296	0.208952	-0.005346	0.016967	0.392510	0.220577	0.225093	0.214856	
 1687176598.026500	1687187169.583837	5.390174	-21.242018	-0.879066	0.235618	0.235593	0.212038	0.001182	0.003380	0.402210	0.221257	0.224263	0.217745	
 1687176598.336504	1687187169.894407	5.412309	-21.228157	-0.890883	0.238075	0.237976	0.214199	0.006753	-0.000692	0.404651	0.220161	0.215361	0.219379	
 1687176598.640923	1687187170.198993	5.417320	-21.233863	-0.899669	0.236089	0.236170	0.212276	-0.003628	0.018623	0.403248	0.221197	0.213816	0.217833	
 1687176598.946054	1687187170.537147	5.411420	-21.262067	-0.904424	0.231617	0.231601	0.209226	-0.006359	0.024032	0.379893	0.217507	0.221044	0.214483	
 1687176599.252980	1687187170.852325	5.389816	-21.265691	-0.902529	0.234478	0.234511	0.211216	-0.010364	0.014860	0.398925	0.221770	0.231950	0.216675	
 1687176599.557132	1687187171.176618	5.400096	-21.263533	-0.906911	0.237204	0.237182	0.213485	0.000866	0.003220	0.432179	0.228883	0.224810	0.218732	
 1687176599.867541	1687187171.447888	5.415825	-21.263542	-0.917803	0.234208	0.234116	0.211088	0.003291	0.006391	0.417365	0.217647	0.212797	0.216385	
 1687176600.173872	1687187171.775827	5.429429	-21.283316	-0.926276	0.234637	0.234619	0.211018	0.001230	0.013342	0.396490	0.217915	0.214202	0.216752	
 1687176600.480849	1687187172.082420	5.421890	-21.290122	-0.919719	0.235876	0.235890	0.211883	-0.002534	0.012989	0.393312	0.217798	0.221337	0.217840	
 1687176600.790267	1687187172.370286	5.426188	-21.289924	-0.913060	0.236862	0.236907	0.213104	-0.003462	0.005401	0.411863	0.219884	0.223134	0.218712	
 1687176601.094270	1687187172.692319	5.429277	-21.278368	-0.915104	0.238405	0.238406	0.213929	0.000173	-0.001873	0.409864	0.221181	0.216975	0.219497	
