t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687526327.980643	1687526327.984039	15.779439	-23.293361	-0.893458	0.298822	0.298824	0.245928	0.015182	-0.002074	-2.657687	0.248758	0.251147	0.253508	0.007618	-0.000812	0.970845	0.239584	
 1687526328.385447	1687526328.388104	15.750771	-23.264569	-0.889546	0.298418	0.298416	0.245487	0.006461	-0.000038	-2.685264	0.257635	0.247529	0.253002	0.003151	-0.000712	0.974078	0.226188	
 1687526328.791030	1687526328.792544	15.744607	-23.263386	-0.879522	0.298684	0.298649	0.245686	0.000132	-0.008883	-2.743159	0.249792	0.247632	0.253336	0.000944	0.004341	0.980212	0.197899	
 1687526329.199870	1687526329.195396	15.729964	-23.259043	-0.869520	0.292540	0.292539	0.242688	0.006097	0.001968	-2.762702	0.244557	0.248678	0.249932	0.002809	-0.001540	0.982103	0.188316	
 1687526329.603777	1687526329.601943	15.722370	-23.260371	-0.870541	0.296138	0.296158	0.244517	0.002495	0.017871	-2.749371	0.248244	0.246689	0.252256	-0.000518	-0.009007	0.980790	0.194859	
 1687526330.010756	1687526330.005107	15.720102	-23.274902	-0.877242	0.298648	0.298572	0.245351	0.011744	0.008410	-2.753388	0.247566	0.263003	0.252913	0.004951	-0.005259	0.981191	0.192905	
 1687526330.417356	1687526330.409312	15.704367	-23.285178	-0.862592	0.298955	0.299016	0.245851	-0.033814	0.018800	-2.801919	0.254219	0.251054	0.253452	-0.018251	-0.006406	0.985455	0.168833	
 1687526330.824444	1687526330.812055	15.704570	-23.291692	-0.865868	0.290744	0.290776	0.242877	-0.008939	0.016081	-2.841546	0.295435	0.260019	0.250340	-0.005621	-0.007282	0.988731	0.149419	
 1687526331.227987	1687526331.216123	15.716761	-23.315904	-0.889035	0.301610	0.301602	0.246911	0.009758	0.007174	-2.860664	0.252392	0.258604	0.254423	0.004329	-0.004235	0.990131	0.140017	
 1687526331.632160	1687526331.619565	15.710375	-23.316294	-0.880241	0.298241	0.298386	0.245624	-0.028518	0.026567	-2.911420	0.250700	0.248469	0.252860	-0.015688	-0.011557	0.993218	0.114622	
 1687526332.040600	1687526332.022522	15.712183	-23.317725	-0.885762	0.295405	0.295482	0.244769	-0.002819	0.019201	-2.950073	0.277171	0.266709	0.251781	-0.002321	-0.009421	0.995373	0.095595	
 1687526332.444794	1687526332.425093	15.699469	-23.327877	-0.892654	0.302018	0.302057	0.247045	-0.004661	0.012604	-2.986359	0.249667	0.258359	0.254261	-0.002812	-0.006102	0.996968	0.077522	
 1687526332.851938	1687526332.828149	15.683970	-23.338276	-0.888320	0.299303	0.299310	0.245724	0.003800	0.010407	-3.014341	0.248937	0.252090	0.253146	0.001565	-0.005314	0.997961	0.063592	
 1687526333.257941	1687526333.232781	15.679086	-23.352137	-0.880389	0.299956	0.299908	0.246482	0.004570	0.026774	-3.031571	0.249218	0.251308	0.253905	0.001546	-0.013492	0.998394	0.055009	
 1687526333.661752	1687526333.635114	15.666026	-23.336928	-0.878582	0.297510	0.297506	0.245663	-0.010394	0.010187	-3.076086	0.248519	0.264514	0.253042	-0.005361	-0.004921	0.999438	0.032720	
 1687526334.070814	1687526334.037760	15.644254	-23.317389	-0.892367	0.286486	0.286456	0.240285	0.018696	-0.009994	3.119653	0.246873	0.244534	0.247265	0.009293	0.005099	0.999883	-0.011015	
 1687526334.374872	1687526334.340730	15.629305	-23.334817	-0.891973	0.243145	0.243144	0.216325	0.007044	-0.001705	3.108465	0.233039	0.219945	0.222254	0.003508	0.000911	0.999856	-0.016566	
 1687526334.780293	1687526334.744742	15.618128	-23.339015	-0.885320	0.291327	0.291279	0.242022	-0.030671	-0.000786	3.092904	0.246547	0.243998	0.249247	-0.015340	0.000020	0.999586	-0.024333	
 1687526335.186124	1687526335.149669	15.585157	-23.338008	-0.897615	0.293700	0.293782	0.243269	0.018831	0.003586	3.056719	0.291816	0.244941	0.250500	0.009483	-0.001392	0.999055	-0.042405	
 1687526335.498336	1687526335.452178	15.558685	-23.343716	-0.895198	0.240917	0.240951	0.215130	0.007985	0.006154	3.045260	0.234020	0.216888	0.221208	0.004136	-0.002881	0.998828	-0.048135	
 1687526335.903958	1687526335.854934	15.531778	-23.342752	-0.890397	0.295483	0.295493	0.243884	-0.025177	-0.007353	2.993198	0.250169	0.246843	0.251274	-0.012826	0.002733	0.997166	-0.074077	
 1687526336.210331	1687526336.157964	15.508726	-23.331750	-0.892983	0.242351	0.242358	0.216374	-0.019947	0.001103	2.946106	0.254892	0.219982	0.222635	-0.009872	-0.001522	0.995177	-0.097588	
 1687526336.616511	1687526336.568156	15.469109	-23.333753	-0.915318	0.294672	0.294703	0.243417	0.006370	0.004043	2.946929	0.275539	0.245258	0.250824	0.003366	-0.001702	0.995261	-0.097171	
 1687526337.019696	1687526336.975820	15.429881	-23.333819	-0.916539	0.296730	0.296800	0.244877	-0.032049	-0.003309	2.902558	0.253116	0.247516	0.252518	-0.016107	-0.000268	0.992741	-0.119191	
 1687526337.425610	1687526337.377436	15.383722	-23.335398	-0.927622	0.296902	0.296948	0.244958	0.006117	-0.013946	2.865351	0.328624	0.248511	0.252563	0.002069	0.007327	0.990445	-0.137699	
 1687526337.832258	1687526337.781941	15.346114	-23.350247	-0.918196	0.299313	0.299352	0.245767	-0.006608	-0.009108	2.864802	0.254880	0.253265	0.253465	-0.003901	0.004055	0.990425	-0.137937	
 1687526338.242295	1687526338.186588	15.309330	-23.342370	-0.898009	0.297533	0.297581	0.245646	-0.046600	-0.008879	2.764093	0.257823	0.251288	0.253492	-0.023716	-0.000012	0.981983	-0.187477	
 1687526338.653697	1687526338.588482	15.254249	-23.338266	-0.911997	0.300475	0.300553	0.247093	-0.020583	-0.015444	2.732695	0.413889	0.259814	0.254764	-0.011644	0.005471	0.979108	-0.202933	
