t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687525511.502800	1687525511.445551	24.609915	-17.238812	-0.855112	0.294247	0.295779	0.248580	-0.036735	0.004254	1.073931	0.272622	0.246625	0.247709	0.007568	0.016869	-0.511410	0.859138
 1687525511.911350	1687525511.849185	24.322835	-17.234678	-0.839726	0.315785	0.322268	0.371165	-0.029163	-0.011784	1.008629	0.295801	0.249579	0.252600	0.012204	0.009919	-0.483223	0.875356
 1687525512.216254	1687525512.150802	24.133674	-17.063181	-0.838419	0.286939	0.240512	0.290525	-0.035114	-0.017450	0.958173	0.286000	0.219149	0.216792	0.015834	0.011557	-0.461016	0.887175
 1687525512.621835	1687525512.554425	24.137434	-17.114402	-0.813714	0.298230	0.299653	0.281677	-0.031251	-0.027420	0.931100	0.392577	0.258382	0.247080	0.019262	0.007807	-0.449009	0.893286
 1687525513.028163	1687525512.958719	24.308263	-17.282437	-0.812810	0.293470	0.322164	0.298784	-0.055118	-0.023182	0.969153	0.359970	0.326709	0.248259	0.023088	0.018984	-0.465908	0.884328
 1687525513.335706	1687525513.263192	24.287455	-17.052148	-0.811693	0.247523	0.242608	0.216676	-0.048254	-0.012635	0.767124	0.612953	0.268238	0.218391	0.014885	0.020008	-0.374251	0.926992
 1687525513.739519	1687525513.665648	24.286650	-16.729035	-0.821514	0.294193	0.306567	0.247356	-0.026796	-0.004112	0.735073	0.522842	0.256007	0.245546	0.006732	0.011764	-0.359310	0.933120
 1687525514.143878	1687525514.068928	24.227026	-16.392794	-0.814905	0.292818	0.291665	0.246690	-0.009067	0.020893	0.836920	0.310914	0.245209	0.246743	-0.007703	0.008387	-0.406284	0.913676
 1687525514.551513	1687525514.472477	24.189623	-16.427715	-0.793008	0.312243	0.304258	0.270335	-0.022343	0.005517	0.853875	0.260763	0.281182	0.249428	0.002115	0.011311	-0.414030	0.910191
 1687525514.959136	1687525514.906985	24.141273	-16.531777	-0.779910	0.352113	0.323126	0.293840	-0.032089	-0.005981	0.863574	0.323447	0.255444	0.249216	0.009430	0.013320	-0.418482	0.908078
 1687525515.362551	1687525515.313053	24.124206	-16.546848	-0.774850	0.332278	0.324768	0.285605	-0.042722	0.004626	0.879495	0.384832	0.248487	0.249978	0.007000	0.020312	-0.425568	0.904671
 1687525515.766933	1687525515.716262	24.351636	-16.811189	-0.787868	0.296040	0.305831	0.272850	-0.048571	0.005914	0.955295	0.516193	0.275539	0.245719	0.008537	0.022924	-0.459490	0.887846
